No;lokasi;kamar_tidur;kamar_mandi;luas_rumah;luas_tanah;harga;jenis_rumah
1;Cimanggis;3;2;100;60;550000000;Sederhana
2;Sukmajaya;3;2;141;200;2600000000;Menengah
3;Cinere;6;4;434;795;4500000000;Mewah
4;Sawangan;2;1;40;60;250000000;Sederhana
5;Cimanggis;3;2;66;85;845000000;Menengah
6;Cimanggis;2;1;41;40;399823000;Sederhana
7;Cimanggis;2;1;42;63;590696000;Sederhana
8;Pancoran Mas;3;2;60;60;495000000;Sederhana
9;Pancoran Mas;1;1;25;21;307000000;Sederhana
10;Sawangan;3;2;68;115;868800000;Menengah
11;Cilodong;1;1;24;30;155000000;Sederhana
12;Bojongsari;2;1;40;84;630000000;Menengah
13;Cipayung;2;1;45;52;270000000;Sederhana
14;Cinere;3;2;105;98;1500000000;Menengah
15;Tapos;4;2;115;70;650000000;Sederhana
16;Sawangan;2;1;45;70;590000000;Sederhana
17;Pancoran Mas;3;2;88;72;780000000;Sederhana
18;Cilodong;3;2;75;126;1000000000;Menengah
19;Cimanggis;3;2;80;50;550000000;Sederhana
20;Sawangan;2;1;36;60;285000000;Sederhana
21;Cilodong;2;1;36;61;501800000;Sederhana
22;Sawangan;2;2;56;82;756900000;Menengah
23;Pancoran Mas;2;1;36;66;586000000;Sederhana
24;Sawangan;2;1;36;60;295000000;Sederhana
25;Cimanggis;3;2;100;56;570000000;Sederhana
26;Cilodong;2;1;24;42;243000000;Sederhana
27;Pancoran Mas;3;2;60;62;674000000;Sederhana
28;Sawangan;2;1;40;82;447000000;Menengah
29;Sawangan;2;1;30;61;373117000;Sederhana
30;Sawangan;2;1;36;72;440000000;Sederhana
31;Cinere;3;2;70;90;805000000;Menengah
32;Tapos;3;2;85;52;545000000;Sederhana
33;Cimanggis;3;3;80;60;885000000;Sederhana
34;Sawangan;2;1;39;74;469000000;Sederhana
35;Bojongsari;3;2;69;72;550000000;Sederhana
36;Pancoran Mas;2;1;34;72;495000000;Sederhana
37;Cilodong;2;2;70;85;865000000;Menengah
38;Sawangan;2;1;40;84;446000000;Menengah
39;Cilodong;2;1;31;76;319900000;Sederhana
40;Beji;5;2;180;100;1400000000;Menengah
41;Cinere;2;2;50.7;40;850000000;Sederhana
42;Cipayung;3;1;60;104;435000000;Menengah
43;Cilodong;2;1;40;81;474000000;Menengah
44;Cinere;3;2;72;78;1280000000;Sederhana
45;Bojongsari;2;1;36;71.5;385000000;Sederhana
46;Cimanggis;6;6;275;200;2900000000;Menengah
47;Sawangan;3;2;70;63;725000000;Sederhana
48;Pancoran Mas;3;1;60;68;707000000;Sederhana
49;Cimanggis;3;2;110;74;699000000;Sederhana
50;Cipayung;2;1;45;70;320000000;Sederhana
51;Cipayung;2;1;40;65;356000000;Sederhana
52;Pancoran Mas;4;4;118;89;1150000000;Menengah
53;Cinere;4;3;300;575;4500000000;Mewah
54;Cinere;2;1;45;84;681400000;Menengah
55;Cinere;3;2;67;68;948000000;Sederhana
56;Sukmajaya;3;3;104;109;1825000000;Menengah
57;Cipayung;2;1;36;84;352500000;Menengah
58;Sawangan;2;1;45;84;679000000;Menengah
59;Cilodong;2;1;42;72;566000000;Sederhana
60;Pancoran Mas;3;2;131;218;1000000000;Mewah
61;Beji;3;3;120;100;1600000000;Menengah
62;Cimanggis;3;2;66;83;839000000;Menengah
63;Cimanggis;3;2;100;65;580000000;Sederhana
64;Cinere;4;3;168;144;1190923194;Menengah
65;Cimanggis;3;2;110;70;650000000;Sederhana
66;Bojongsari;2;1;40;84;644000000;Menengah
67;Cinere;2;1;45;72;624700000;Sederhana
68;Sawangan;3;1;56;97;660000000;Menengah
69;Bojongsari;2;1;40;84;644000000;Menengah
70;Cinere;3;2;60;96;1856250000;Menengah
71;Sawangan;2;1;40;85;447000000;Menengah
72;Sawangan;3;2;60;60;495000000;Sederhana
73;Bojongsari;3;2;160;320;1800000000;Mewah
74;Cimanggis;2;1;36;83;583000000;Menengah
75;Sukmajaya;2;1;36;120;950000000;Menengah
76;Pancoran Mas;4;3;130;81;1150025000;Menengah
77;Cimanggis;2;1;36;66;680000000;Sederhana
78;Sawangan;4;3;75;72;875000000;Sederhana
79;Sawangan;3;1;200;600;1250000000;Mewah
80;Pancoran Mas;3;3;125;89;1200000000;Menengah
81;Sawangan;2;1;39;72;584000000;Sederhana
82;Sawangan;2;1;45;84;679000000;Menengah
83;Bojongsari;2;1;36;84;712000000;Menengah
84;Bojongsari;2;1;40;84;659000000;Menengah
85;Cilodong;9;7;104;102;650000000;Menengah
86;Cinere;4;3;255;400;3500000000;Mewah
87;Sawangan;2;2;40;84;644000000;Menengah
88;Cilodong;3;2;60;60;495000000;Sederhana
